sentence,ID,clean sentence,parse,start_index,end_index,phrase,total_native,total_non_native,native_complex,non_native_complex,complex_binary,complex_probabilistic,split,count,original phrase,syllables,length
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,0,5,brown,10,10,0,1,1,0.05,['Brown'],1,Brown,1,5
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,6,12,dwarfs,10,10,4,9,1,0.65,['dwarfs'],1,dwarfs,1,6
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,35,37,mj,10,10,0,0,0,0.0,['MJ'],1,MJ,1,2
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,89,91,mj,10,10,0,0,0,0.0,['MJ'],1,MJ,1,2
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,13,20,heavier,10,10,0,0,0,0.0,['heavier'],1,heavier,3,7
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,53,57,fuse,10,10,4,4,1,0.4,['fuse'],1,fuse,1,4
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,94,98,fuse,10,10,2,0,1,0.1,['fuse'],1,fuse,1,4
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,42,49,thought,10,10,0,0,0,0.0,['thought'],1,thought,1,7
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,58,67,deuterium,10,10,10,6,1,0.8,['deuterium'],1,deuterium,4,9
"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~ 65 MJ , fuse lithium as well .",,99,106,lithium,10,10,7,1,1,0.4,['lithium'],1,lithium,3,7
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,178,182,star,10,10,0,0,0,0.0,['star'],1,star,1,4
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,47,57,identified,10,10,0,1,1,0.05,['identified'],1,identified,4,10
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,245,251,system,10,10,0,0,0,0.0,['system'],1,system,2,6
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,24,29,brown,10,10,0,0,0,0.0,['brown'],1,brown,1,5
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,130,135,brown,10,10,0,0,0,0.0,['brown'],1,brown,1,5
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,255,260,brown,10,10,0,0,0,0.0,['brown'],1,brown,1,5
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,30,36,dwarfs,10,10,1,1,1,0.1,['dwarfs'],1,dwarfs,1,6
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,136,142,dwarfs,10,10,0,0,0,0.0,['dwarfs'],1,dwarfs,1,6
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,261,267,dwarfs,10,10,0,0,0,0.0,['dwarfs'],1,dwarfs,1,6
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,75,80,close,10,10,0,0,0,0.0,['close'],1,close,1,5
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,84,89,earth,10,10,0,0,0,0.0,['Earth'],1,Earth,1,5
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,95,102,epsilon,10,10,0,0,0,0.0,['Epsilon'],1,Epsilon,3,7
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,103,107,indi,10,10,0,0,0,0.0,['Indi'],1,Indi,2,4
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,108,110,ba,10,10,0,0,0,0.0,['Ba'],1,Ba,2,2
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,115,117,bb,10,10,0,0,0,0.0,['Bb'],1,Bb,1,2
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,122,126,pair,10,10,0,0,0,0.0,['pair'],1,pair,1,4
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,143,158,gravitationally,10,10,10,7,1,0.85,['gravitationally'],1,gravitationally,5,15
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,159,164,bound,10,10,1,2,1,0.15,['bound'],1,bound,1,5
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,170,177,sunlike,10,10,1,3,1,0.2,['sunlike'],1,sunlike,2,7
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,193,204,light-years,10,10,1,0,1,0.05,['light-years'],1,light-years,2,11
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,278,289,light-years,10,10,1,2,1,0.15,['light-years'],1,light-years,2,11
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,224,230,luhman,10,10,1,0,1,0.05,['Luhman'],1,Luhman,2,6
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,214,217,sun,10,10,0,0,0,0.0,['Sun'],1,Sun,1,3
"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",33P2GD6NRNTFH4T81JUCYETSN6ZKHE,"Since then , over 1,800 brown dwarfs have been identified , even some very close to Earth like Epsilon Indi Ba and Bb , a pair of brown dwarfs gravitationally bound to a sunlike star around 12 light-years from the Sun , and Luhman 16 , a binary system of brown dwarfs about 6.5 light-years away .",,238,244,binary,10,10,6,7,1,0.65,['binary'],1,binary,3,6
The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,,76,78,ft,10,10,0,0,0,0.0,['ft'],1,ft,1,2
The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,,4,9,tusks,10,10,4,7,1,0.55,['tusks'],1,tusks,1,5
The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,,10,15,weigh,10,10,0,1,1,0.05,['weigh'],1,weigh,1,5
The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,,27,29,kg,10,10,0,0,0,0.0,['kg'],1,kg,1,2
The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,,38,40,lb,10,10,0,0,0,0.0,['lb'],1,lb,1,2
The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,The tusks weigh from 23-45 kg ( 51-99 lb ) and can be from 1.5-2 .4 m ( 5-8 ft ) long .,,81,85,long,10,10,0,0,0,0.0,['long'],1,long,1,4
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,20,28,commonly,10,10,0,0,0,0.0,['commonly'],1,commonly,3,8
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,72,77,small,10,10,0,0,0,0.0,['small'],1,small,1,5
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,4,9,genus,10,10,4,4,1,0.4,['genus'],1,genus,2,5
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,78,83,genus,10,10,1,2,1,0.15,['genus'],1,genus,2,5
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,10,17,agathis,10,10,2,0,1,0.1,['Agathis'],1,Agathis,3,7
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,38,43,kauri,10,10,5,1,1,0.3,['kauri'],1,kauri,2,5
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,47,53,dammar,10,10,7,1,1,0.4,['dammar'],1,dammar,2,6
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,61,71,relatively,10,10,0,2,1,0.1,['relatively'],1,relatively,4,10
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,90,97,species,10,10,1,2,1,0.15,['species'],1,species,2,7
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,101,110,evergreen,10,10,0,7,1,0.35,['evergreen'],1,evergreen,3,9
"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus Agathis , commonly known as kauri or dammar , is a relatively small genus of 21 species of evergreen tree .",,111,115,tree,10,10,0,0,0,0.0,['tree'],1,tree,1,4
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,188,194,number,10,10,0,0,0,0.0,['number'],1,number,2,6
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,4,9,genus,10,10,2,2,1,0.2,['genus'],1,genus,2,5
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,214,221,agathis,10,10,2,0,1,0.1,['Agathis'],1,Agathis,3,7
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,25,32,ancient,10,10,0,2,1,0.1,['ancient'],1,ancient,2,7
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,13,17,part,10,10,0,0,0,0.0,['part'],1,part,1,4
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,33,46,araucariaceae,10,10,4,1,1,0.25,['Araucariaceae'],1,Araucariaceae,5,13
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,57,65,conifers,10,10,5,7,1,0.6,['conifers'],1,conifers,3,8
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,47,53,family,10,10,0,0,0,0.0,['family'],1,family,3,6
"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",32PT7WK7DMGS9QGZUHJNQ7XSKSKD3N,"The genus is part of the ancient Araucariaceae family of conifers , a group once widespread during the Jurassic period , but now largely restricted to the Southern Hemisphere except for a number of extant Malesian Agathis .",,81,91,widespread,10,10,1,5,1,0.3,['widespread'],1,widespread,2,10
